t[s],Fx_FR_SupportCenter,Fy_FR_SupportCenter,Fz_FR_SupportCenter,Tx_FR_SupportCenter,Ty_FR_SupportCenter,Tz_FR_SupportCenter,Fx_FL_SupportCenter,Fy_FL_SupportCenter,Fz_FL_SupportCenter,Tx_FL_SupportCenter,Ty_FL_SupportCenter,Tz_FL_SupportCenter
3.81,4.98730689153,-0.532673178602,213.066636629,-22.9744258343,-13.1945294668,0.481650315001,0.0,0.0,0.0,0.0,0.0,0.0
3.84,3.20203242846,-0.948261965459,213.54831695,-22.761404627,-17.5781119672,0.291910897505,0.0,0.0,0.0,0.0,0.0,0.0
3.87,-2.11665205274,-1.43575396308,214.601367565,-22.5593105176,-24.8034254037,-0.350005107936,0.0,0.0,0.0,0.0,0.0,0.0
3.9,-14.1160558529,-1.71951064078,216.901636058,-22.6245133221,-37.1352952289,-1.83888279677,0.0,0.0,0.0,0.0,0.0,0.0
3.93,-38.4497913986,-0.878005149539,221.173139198,-23.7630811091,-57.9422382017,-4.97357778099,0.0,0.0,0.0,0.0,0.0,0.0
3.96,-85.4403582238,3.2776931866,230.764152166,-28.5597786598,-91.8001345165,-11.5168834396,0.0,0.0,0.0,0.0,0.0,0.0
3.99,-169.341915743,5.20092067488,326.724043479,-40.8336366904,-147.011774851,-23.2822685768,0.0,0.0,0.0,0.0,0.0,0.0
4.02,16.8904638919,0.199826993485,35.5901240592,-0.0226967786989,2.61866613987,-0.00801859260923,0.0,0.0,0.0,0.0,0.0,0.0
4.05,81.8378900967,-14.6416341866,168.95681905,4.0471807503,41.5243093373,2.59408864279,35.00687326,-13.2340374516,49.8597716359,3.06480568006,33.7267666677,4.25274815393
4.08,0.0,0.0,0.0,0.0,0.0,0.0,155.066417346,30.5037913367,320.57860471,17.2100442223,109.238726188,-36.6484089728
4.11,0.0,0.0,0.0,0.0,0.0,0.0,56.9355928729,3.85696735398,227.170204501,22.8057370757,67.2673473324,-8.3119152541
